DATEPRD,WELL_BORE_CODE,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,BORE_OIL_VOL
18-Feb-16,NO 15/9-F-12 H,0.000,0.000,251
19-Feb-16,NO 15/9-F-12 H,0.000,0.000,243
20-Feb-16,NO 15/9-F-12 H,0.000,0.000,251
21-Feb-16,NO 15/9-F-12 H,0.000,0.000,239
22-Feb-16,NO 15/9-F-12 H,0.000,0.000,244
23-Feb-16,NO 15/9-F-12 H,0.000,0.000,243
24-Feb-16,NO 15/9-F-12 H,0.000,0.000,243
25-Feb-16,NO 15/9-F-12 H,0.000,0.000,248
26-Feb-16,NO 15/9-F-12 H,0.000,0.000,269
27-Feb-16,NO 15/9-F-12 H,0.000,0.000,267
28-Feb-16,NO 15/9-F-12 H,0.000,0.000,271
29-Feb-16,NO 15/9-F-12 H,0.000,0.000,269
